long,lat,tipo
-58.384771,-34.612147,Led
-58.39887,-34.613114,Led
-58.388475,-34.61372,Led
-58.411159,-34.615339,Led
-58.409693,-34.615239,Led
-58.408391,-34.615082,Led
-58.407287,-34.614928,Led
-58.406193,-34.614792,Led
-58.404914,-34.614621,Led
-58.403014,-34.614524,Led
-58.401362,-34.61442,Led
-58.400133,-34.614351,Led
-58.397483,-34.614191,Led
-58.396149,-34.614128,Led
-58.394669,-34.614039,Led
-58.39324,-34.613922,Led
-58.39171,-34.613819,Led
-58.390363,-34.61372,Led
-58.38895,-34.613623,Led
-58.387518,-34.613525,Led
-58.386075,-34.613425,Led
-58.384648,-34.613323,Led
-58.383219,-34.613217,Led
-58.404069,-34.614572,Led
-58.404224,-34.613384,Led
-58.40435,-34.612345,Led
-58.411,-34.616618,Led
-58.409462,-34.616598,Led
-58.408232,-34.616505,Led
-58.399238,-34.615135,Led
-58.405825,-34.616083,Led
-58.402881,-34.615445,Led
-58.401264,-34.615508,Led
-58.396132,-34.615256,Led
-58.393199,-34.615025,Led
-58.39167,-34.614905,Led
-58.390384,-34.614825,Led
-58.388988,-34.61469,Led
-58.387516,-34.614667,Led
-58.385945,-34.61454,Led
-58.384562,-34.614471,Led
-58.38312,-34.614382,Led
-58.384288,-34.6186,Led
-58.383034,-34.617721,Led
-58.384322,-34.617778,Led
-58.385874,-34.617837,Led
-58.387472,-34.617893,Led
-58.388971,-34.617983,Led
-58.390336,-34.618068,Led
-58.391696,-34.618153,Led
-58.393212,-34.61822,Led
-58.394509,-34.618295,Led
-58.38439,-34.616631,Led
-58.385905,-34.615489,Led
-58.385894,-34.616676,Led
-58.383068,-34.616524,Led
-58.387481,-34.615524,Led
-58.389059,-34.616724,Led
-58.387478,-34.616697,Led
-58.393193,-34.616965,Led
-58.39455,-34.617066,Led
-58.394595,-34.615878,Led
-58.391656,-34.615691,Led
-58.391669,-34.616869,Led
-58.390358,-34.616781,Led
-58.388975,-34.615557,Led
-58.384478,-34.615434,Led
-58.383068,-34.615374,Led
-58.390387,-34.615617,Led
-58.383312,-34.612023,Led
-58.393177,-34.615774,Led
-58.393171,-34.620306,Led
-58.3902,-34.620119,Led
-58.393228,-34.619218,Led
-58.391677,-34.619099,Led
-58.391632,-34.620207,Led
-58.387427,-34.618771,Led
-58.387326,-34.619936,Led
-58.390275,-34.618976,Led
-58.385866,-34.618672,Led
-58.388862,-34.62004,Led
-58.38892,-34.618862,Led
-58.384339,-34.61978,Led
-58.410079,-34.612687,Led
-58.40155,-34.612182,Led
-58.40032,-34.612077,Led
-58.397431,-34.611877,Led
-58.396169,-34.611769,Led
-58.384827,-34.611003,Led
-58.383365,-34.610904,Led
-58.403244,-34.612283,Led
-58.385827,-34.619853,Led
-58.382976,-34.618566,Led
-58.382994,-34.61976,Led
-58.382976,-34.620986,Led
-58.39637,-34.623047,Led
-58.395377,-34.622958,Led
-58.393767,-34.622861,Led
-58.39293,-34.622816,Led
-58.391479,-34.622727,Led
-58.389888,-34.622628,Led
-58.388679,-34.62255,Led
-58.387182,-34.622468,Led
-58.385836,-34.622365,Led
-58.384408,-34.622301,Led
-58.382964,-34.622242,Led
-58.391573,-34.621548,Led
-58.390046,-34.621459,Led
-58.384346,-34.621036,Led
-58.393111,-34.621628,Led
