idSiniestro,NumVictimas,Anio,Mes,Dia,H,LugarHecho,TipoDeCalle,Calle,Cruce,Comuna,PosX,PosY,Participantes,Victima,Acusado,DiaSemana,Rol,Sexo,Edad,FechaFallecimiento,RangoHorario,Semestre
2016-0099,1,2016,Julio,29,16.0,AV GRAL MOSCONI Y AV GRAL PAZ,AVENIDA,MOSCONI GENERAL AV.,Con Cruce,11,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS,Viernes,CONDUCTOR,MASCULINO,45.0,SD,tarde,2
2016-0100,1,2016,Agosto,3,23.0,AV GRAL PAZ  Y DONADO,AVENIDA,"PAZ, GRAL. AV.",Con Cruce,12,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,Miércoles,CONDUCTOR,MASCULINO,57.0,2016-08-03 00:00:00,noche,2
2016-0102,1,2016,Agosto,10,23.0,AV EVA PERON Y JOSE LEON SUAREZ,AVENIDA,"PERON, EVA AV.",Con Cruce,9,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS,Miércoles,CONDUCTOR,MASCULINO,29.0,SD,noche,2
2016-0104,1,2016,Agosto,14,21.0,ZINNY Y AV SANTIAGO DE COMPOSTELA,AVENIDA,ZINNY,Con Cruce,9,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS,Domingo,CONDUCTOR,MASCULINO,21.0,2016-08-15 00:00:00,noche,2
2016-0105,1,2016,Agosto,17,0.0,AV FEDERICO LACROZE Y FRAGA,AVENIDA,"LACROZE, FEDERICO AV.",Con Cruce,15,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS,Miércoles,PEATON,MASCULINO,19.0,2016-08-26 00:00:00,madrugada,2
2016-0106,1,2016,Agosto,19,21.0,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,AVENIDA,"PELLEGRINI, CARLOS",Con Cruce,1,-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS,Viernes,PEATON,MASCULINO,38.0,SD,noche,2
2016-0107,1,2016,Agosto,20,8.0,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Sin Cruce,4,-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO,Sábado,CONDUCTOR,MASCULINO,21.0,SD,mañana,2
2016-0109,1,2016,Agosto,24,5.0,AUTOPISTA PERITO MORENO Y BARRAGAN,AUTOPISTA,AUTOPISTA PERITO MORENO,Con Cruce,9,-58.52280139,-34.63659934,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,Miércoles,CONDUCTOR,FEMENINO,53.0,2016-08-24 00:00:00,madrugada,2
2016-0111,1,2016,Agosto,25,9.0,AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA,AUTOPISTA,LUGONES,Con Cruce,15,-58.47461905,-34.57663634,MOTO-CARGAS,MOTO,CARGAS,Jueves,CONDUCTOR,MASCULINO,27.0,2016-08-25 00:00:00,mañana,2
2016-0112,1,2016,Agosto,27,4.0,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,AUTOPISTA,AUTOPISTA 25 DE MAYO,Con Cruce,1,-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,Sábado,CONDUCTOR,MASCULINO,24.0,2016-08-27 00:00:00,madrugada,2
2016-0113,1,2016,Agosto,27,16.0,AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Con Cruce,9,-58.49603546,-34.64564271,PEATON-PASAJEROS,PEATON,PASAJEROS,Sábado,PEATON,FEMENINO,60.0,SD,tarde,2
2016-0114,1,2016,Agosto,31,11.0,SALGUERO 1410,CALLE,"SALGUERO, JERONIMO",Sin Cruce,14,-58.41848605,-34.59394733,BICICLETA-CARGAS,BICICLETA,CARGAS,Miércoles,CICLISTA,FEMENINO,55.0,2016-08-31 00:00:00,mañana,2
2016-0116,1,2016,Septiembre,2,20.0,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,Con Cruce,8,-58.44451316,-34.68475866,MOTO-AUTO,MOTO,AUTO,Viernes,CONDUCTOR,MASCULINO,30.0,2016-09-02 00:00:00,noche,2
2016-0117,1,2016,Septiembre,3,15.0,AV DEL LIBERTADOR Y TAGLE,AVENIDA,DEL LIBERTADOR AV.,Con Cruce,14,-58.39936478,-34.58271474,AUTO-AUTO,AUTO,AUTO,Sábado,CONDUCTOR,MASCULINO,43.0,SD,tarde,2
